year,code,province,yrs_0,yrs_1,yrs_2,yrs_3,yrs_4,yrs_5,yrs_6,yrs_7,yrs_8,yrs_9,yrs_10,yrs_15,yrs_20,yrs_25,yrs_30,yrs_35,yrs_40,yrs_45,yrs_50,yrs_55,yrs_60,yrs_65,yrs_70,yrs_75,yrs_80,yrs_85
2004,44000000,Guangdong,952241,947077,937743,910119,975399,853800,1107525,1250973,1626833,2261442,12577594,9830294,6287251,4515963,5952747,6031634,5299892,4934869,8785263,6273140,2957550,2246166,1752912,1172214,597351,261205
2005,44000000,Guangdong,982969,965694,943170,901437,897105,974059,839183,1109000,1475043,2150960,12409432,10228307,6693486,4513895,5614870,6077735,5831144,4729011,9011359,6498530,2994419,2235739,1777559,1201309,632525,252177
2006,44000000,Guangdong,1027567,1000636,966483,911286,892790,901033,966482,846180,1340789,2009995,12341409,10404608,7140705,4725988,5318080,6131495,6349915,4544862,9263062,6731015,3068156,2200665,1834762,1229069,648446,244625
2007,44000000,Guangdong,1083071,1048424,1004698,937260,905294,899370,894409,976473,1079857,1885296,12129880,10524808,7578980,5207076,4964665,6272411,6281884,4759289,9581511,7047760,3189435,2187851,1871830,1253424,684758,240362
2008,44000000,Guangdong,1131676,1092341,1042269,965010,921213,902082,883637,894256,1207048,1618091,11688413,10648697,7862779,5594740,4656973,6132618,6302871,5132971,9774639,7326371,3357496,2162806,1883555,1300532,721151,235753
2009,44000000,Guangdong,1186118,1145256,1092472,1008732,956430,925971,893183,890675,1125746,1752794,11063576,10582701,8150815,6013201,4537749,6042861,6320197,5519659,9684618,7553017,3574611,2201430,1860075,1337549,725651,234857
2010,44000000,Guangdong,1077114,1025039,971207,902924,854792,822625,795884,791177,911633,1268216,8232569,12437630,8954142,6630599,5052343,6695719,6980665,6178517,12710261,9743081,4232211,2427473,2058267,1483453,805313,260229
2011,44000000,Guangdong,1198061,1369565,1298403,1187213,1104713,992382,940900,898842,1119110,1483018,6694657,10069061,11646737,10504877,7993799,8988273,8764115,7731909,5154599,4862813,3437052,2304371,2033090,1645708,988465,638250
2012,44000000,Guangdong,1174958,1362608,1288009,1164869,1071673,922445,859529,811738,1126016,1486678,5840591,9988325,12789933,11664602,8063857,9144507,8837834,8127449,4897183,4804879,3422898,2140077,1864405,1563214,939105,582629
2013,44000000,Guangdong,1236832,1435046,1434557,1166725,1068620,950419,852496,830971,1112547,1521443,5541288,9531261,12912697,11758684,8167195,9029175,8788621,8211305,5131444,4887214,3555708,2199022,1866486,1594151,1021996,634097
